9,深圳市搜电科技发展有限公司软件产品部招聘,经验3-5年 /,python工程师,/深圳 /,15k-20k,本科及以上 /,全职
10,行云智能研发部招聘,经验1-3年 /,Python开发工程师,/深圳 /,10k-20k,本科及以上 /,全职
11,腾讯招聘,经验3-5年 /,python开发工程师,/深圳 /,20k-40k,本科及以上 /,全职
12,腾讯信息安全部招聘,经验3-5年 /,Python开发工程师,/深圳 /,10k-15k,本科及以上 /,全职
13,雷锋网AI研习社招聘,经验3-5年 /,Python开发工程师,/深圳 /,15k-25k,本科及以上 /,全职
14,乐瀛科技技术部招聘,经验3-5年 /,python后端,/深圳 /,10k-15k,大专及以上 /,全职
,company,exp,name,place,salary,school,type
0,乐瀛科技技术部招聘,经验3-5年 /,python后端,/深圳 /,10k-15k,大专及以上 /,全职
1,方得门投招聘,经验3-5年 /,Python开发工程师,/深圳 /,12k-15k,本科及以上 /,全职
2,云天励飞AI技术部招聘,经验5-10年 /,Python开发工程师(J10047),/深圳 /,20k-30k,学历不限 /,全职
3,Gekko.ai软件招聘,经验3-5年 /,Python / Golang后端工程师,/深圳 /,16k-32k,本科及以上 /,全职
4,Gekko.ai软件团队招聘,经验应届毕业生 /,Python 后端工程师（实习）,/深圳 /,6k-12k,本科及以上 /,实习
5,倍蓰研发部招聘,经验3-5年 /,python开发,/深圳 /,15k-25k,本科及以上 /,全职
6,悦动招聘,经验3-5年 /,python后台开发工程师,/深圳 /,15k-25k,本科及以上 /,全职
7,富途研发部招聘,经验1-3年 /,银行业务后台开发工程师-Py...,/深圳 /,14k-28k,本科及以上 /,全职
8,鑫溢网络科技研发部招聘,经验3-5年 /,【python游戏后台开发】,/深圳 /,20k-40k,大专及以上 /,全职
9,带动热潮招聘,经验3-5年 /,高级Python工程师,/深圳 /,15k-30k,学历不限 /,全职
10,微诺招聘,经验3-5年 /,Python/Golang开发工程师,/深圳 /,15k-30k,本科及以上 /,全职
11,顺丰科技有限公司招聘,经验3-5年 /,SJZ-python开发工程师,/深圳 /,18k-30k,本科及以上 /,全职
12,深信服科技集团研发体系招聘,经验1-3年 /,python开发工程师,/深圳 /,11k-20k,本科及以上 /,全职
13,衍盛中国技术部招聘,经验1-3年 /,Python高级工程师,/深圳 /,15k-20k,本科及以上 /,全职
14,派湃科技研发部招聘,经验应届毕业生 /,Python架构师,/深圳 /,25k-50k,大专及以上 /,全职
,company,exp,name,place,salary,school,type
0,派湃科技研发部招聘,经验10年以上 /,Python架构师,/深圳 /,25k-50k,大专及以上 /,全职
1,润杨金融招聘,经验1-3年 /,后台开发工程师（Python、jav...,/深圳 /,8k-12k,本科及以上 /,全职
2,米筐 (Ricequant)研发招聘,经验3-5年 /,高级python研发工程师 开发...,/深圳 /,15k-25k,本科及以上 /,全职
3,软帝联合招聘,经验3-5年 /,python开发,/深圳 /,10k-15k,大专及以上 /,全职
4,万科物业住这儿工作室招聘,经验3-5年 /,高级Python开发工程师,/深圳 /,15k-30k,本科及以上 /,全职
5,华世界招聘,经验3-5年 /,Python中级开发工程师,/深圳 /,9k-15k,大专及以上 /,全职
6,數立方深圳研发中心招聘,经验1-3年 /,Python数据工程师,/深圳 /,12k-24k,本科及以上 /,全职
7,Bello招聘,经验3-5年 /,python开发工程师,/深圳 /,15k-30k,学历不限 /,全职
8,salezoom研发部招聘,经验3-5年 /,python开发工程师,/深圳 /,12k-20k,本科及以上 /,全职
9,中国联保研发中心招聘,经验1-3年 /,Python 工程师,/深圳 /,8k-15k,大专及以上 /,全职
10,同方信息IT技术中心招聘,经验5-10年 /,python开发工程师,/深圳 /,20k-40k,本科及以上 /,全职
11,深圳无内科技有限公司研发部招聘,经验5-10年 /,Python开发工程师（中高级）,/深圳 /,30k-35k,本科及以上 /,全职
12,腾讯安全平台部招聘,经验5-10年 /,python高级开发工程师,/深圳 /,25k-50k,本科及以上 /,全职
13,腾讯腾讯云招聘,经验5-10年 /,CSIG-C++/C/Go/python 软件...,/深圳 /,22k-40k,本科及以上 /,全职
14,腾讯TEG招聘,经验3-5年 /,python后台高级工程师,/深圳 /,25k-50k,本科及以上 /,全职
,company,exp,name,place,salary,school,type
0,腾讯技术运营部招聘,经验3-5年 /,python后台开发工程师（深圳...,/深圳 /,15k-30k,本科及以上 /,全职
1,腾讯招聘,经验3-5年 /,数据分析平台开发工程师（Py...,/深圳 /,20k-40k,本科及以上 /,全职
2,腾讯招聘,经验3-5年 /,监控系统开发工程师-Python...,/深圳 /,16k-30k,本科及以上 /,全职
3,风变科技（深圳）有限公司技术部招聘,经验1-3年 /,后端开发工程师（Go/Python/...,/深圳 /,10k-20k,本科及以上 /,全职
